Nr;Datum;Hiragana;Katakana;Kanji;Romaji;Deutsch;Typ;Update
6;2019-04-04;ぎゅうにゅう;;;gyuunyuu;Milch;Substantiv;
6;2019-04-04;こにやなく;;;koniyanaku;Kognak;Substantiv;
7;2019-04-11;せん;;千;senn;1000;Zahl;2019-05-15
7;2019-04-11;せんいち;;千一;sennichi;1001;Zahl;
7;2019-04-11;せんに;;千二;sennni;1002;Zahl;
7;2019-04-11;せんさん;;千三;sennsann;1003;Zahl;
7;2019-04-11;せんよん　（せんし）;;千四;sennyonn (sennshi);1004;Zahl;
7;2019-04-11;せんご;;千五;senngo;1005;Zahl;
7;2019-04-11;;;千九百九十九;sennkyuuhyakukyuujyuukyuu;1999;Zahl;
7;2019-04-11;;;二千;nisenn;2000;Zahl;
7;2019-04-11;;;三千;sannzenn;3000;Zahl;
7;2019-04-11;;;四千;yonnsenn;4000;Zahl;
7;2019-04-11;わたしのすきなあいすくりーむは、☐です。;;;watashino sukina aisukuri-mu wa ☐ desu;Mein Lieblingseis ist ☐.;Satz;
7;2019-04-11;すきなあいすくりーむ;好きなアイスクリーム;;sukina aisukuri-mu;Lieblingseis;Substantiv;
7;2019-04-11;ばにら;バニラ;;banira;Vanille;Substantiv;
7;2019-04-11;ちよこれーと;チョコレート;;tyokore-to;Schokolade;Substantiv;
7;2019-04-11;いちご;イチゴ;;ichigo;Erdbeere;Substantiv;
7;2019-04-11;らずべりー;ラズベリー;;razuberi-;Himbeere;Substantiv;
7;2019-04-11;なっっ;ナッツ;;nattu;Nuss;Substantiv;
7;2019-04-11;よーぐると;ヨーグルト;;yo-guruto;Joghurt;Substantiv;
7;2019-04-11;まつちゃ;;抹茶;maccha;Matcha;Substantiv;
7;2019-04-11;まんごー;マンゴー;;manngo;Mango;Substantiv;
7;2019-04-11;たまご;;;tamago;Ei;Substantiv;
7;2019-04-11;みみ;;;mimi;Ohr;Substantiv;
7;2019-04-11;むね;;;mune;Brust;Substantiv;
7;2019-04-11;め;;;me;Auge;Substantiv;
8;2019-05-02;もも;;;momo;Pfirisch;Substantiv;
8;2019-05-02;やま;;;yama;Berg;Substantiv;
8;2019-05-02;うみ;;;umi;See;Substantiv;
8;2019-05-02;ゆき;;;yuki;Schnee;Substantiv;
8;2019-05-02;あめ;;;ame;Regen;Substantiv;
8;2019-05-02;よろしく　おねがいします。;;;yoroshiku onegaishimasu;Vielen Dank.;Satz;2019-05-16
8;2019-05-02;;;一万;ichimann;10000;Zahl;
8;2019-05-02;;;二万;nimann;20000;Zahl;
8;2019-05-02;;;十万;jyumann;100000;Zahl;
8;2019-05-02;;;百万;hyakumann;1000000;Zahl;
8;2019-05-02;;;千万;sennmann;10000000;Zahl;
8;2019-05-02;わたしのすきなくだものは、☐です。;;;watashino sukina kudamono wa ☐ desu;Meine Lieblingsfrucht ist ☐.;Satz;
8;2019-05-02;りんご;;;rinngo;Apfel;Substantiv;
8;2019-05-02;ぶらつくべりー;フラツクベリー;;bulakkuberi-;Brombeere;Substantiv;
8;2019-05-02;おれんじ;オレンジ;;orennji;Organge;Substantiv;
8;2019-05-02;なし;;;nashi;Birne;Substantiv;
8;2019-05-02;ばなな;バナナ;;banana;Banane;Substantiv;
8;2019-05-02;ぶどう;;;budou;Traube;Substantiv;
8;2019-05-02;あんず;;;annzu;Aprikose;Substantiv;
