course;number;created_at;hiragana;katakana;kanji;kana;german;pos;key;updated_at
A1.1;1;2019-02-21;;;;さようなら;Auf Wiedersehen.;文;goodbye;2020-01-15
A1.1;1;2019-02-21;;;;<ruby><rb>柿</rb><rt>かき</rt></ruby>;Kaki;名;kaki;2020-01-15
A1.1;1;2019-02-21;;;;<ruby><rb>木</rb><rt>き</rt></ruby>;Baum;名;tree;2020-01-15
A1.1;1;2019-02-21;;;;<ruby><rb>書</rb><rt>か</rt></ruby>く;schreiben;動;to_write;2020-01-15
A1.1;1;2019-02-21;;;;<ruby><rb>毛</rb><rt>け</rt></ruby>;Haar;名;hair;2020-01-15
A1.1;1;2019-02-21;;;;<ruby><rb>子</rb><rt>こ</rt></ruby><ruby><rb>供</rb><rt>ども</rt></ruby>;Kind;名;child;2020-01-15
A1.1;2;2019-02-28;;;;メモ;Memorandum;名;memo;2020-01-15
A1.1;2;2019-02-28;;;;わたしは、 あなたを<ruby><rb>愛</rb><rt>あい</rt></ruby>しています。;Ich liebe dich.;文;i_love_you;2020-01-15
A1.1;2;2019-02-28;;;;わかりましたか。;Haben Sie mich verstanden?;文;do_you_understand_me;2020-01-15
A1.1;3;2019-03-14;;;;<ruby><rb>素</rb><rt>す</rt></ruby><ruby><rb>晴</rb><rt>ば</rt></ruby>らしい;wunderbar;形;wonderful;2020-01-15
A1.1;3;2019-03-14;;;;（<ruby><rb>迚</rb><rt>とて</rt></ruby>も）いいです　（ね）。;Sehr gut!;形;very_good;2020-01-15
A1.1;3;2019-03-14;;;;お<ruby><rb>早</rb><rt>はよ</rt></ruby>う（ございます）。;Guten Morgen!;文;good_morning;2020-01-15
A1.1;3;2019-03-14;;;;<ruby><rb>今</rb><rt>こん</rt></ruby><ruby><rb>日</rb><rt>にち</rt></ruby>は。;Guten Tag!;文;good_day;2019-07-20
A1.1;3;2019-03-14;;;;<ruby><rb>今</rb><rt>こん</rt></ruby><ruby><rb>晩</rb><rt>ばん</rt></ruby>;Guten Abend!;文;good_evening;2019-07-20
A1.1;3;2019-03-14;;;;テスト;Test;名;test;
A1.1;3;2019-03-14;;;;<ruby><rb>一</rb><rt>いち</rt></ruby>;1;数;;2020-01-15
A1.1;3;2019-03-14;;;;<ruby><rb>二</rb><rt>に</rt></ruby>;2;数;;2020-01-15
A1.1;3;2019-03-14;;;;<ruby><rb>三</rb><rt>さん</rt></ruby>;3;数;;2020-01-15
A1.1;3;2019-03-14;;;;<ruby><rb>四</rb><rt>し</rt></ruby>・<ruby><rb>四</rb><rt>よん</rt></ruby>;4;数;;2020-01-15
A1.1;3;2019-03-14;;;;<ruby><rb>五</rb><rt>ご</rt></ruby>;5;数;;2020-01-15
A1.1;3;2019-03-14;;;;<ruby><rb>六</rb><rt>ろく</rt></ruby>;6;数;;2020-01-15
A1.1;3;2019-03-14;;;;<ruby><rb>七</rb><rt>なな</rt></ruby>・<ruby><rb>七</rb><rt>しち</rt></ruby>;7;数;;2020-01-15
A1.1;3;2019-03-14;;;;<ruby><rb>八</rb><rt>はち</rt></ruby>;8;数;;2020-01-15
A1.1;3;2019-03-14;;;;<ruby><rb>九</rb><rt>きゅう</rt></ruby>;9;数;;2020-01-15
A1.1;3;2019-03-14;;;;<ruby><rb>十</rb><rt>じゅう</rt></ruby>;10;数;;2020-01-15
A1.1;3;2019-03-14;;;;おいしいですか？;Schmeckt es?;文;does_it_taste;2019-07-20
A1.1;3;2019-03-14;;;;はい、（とても）おいしいです。;Ja, es schmeckt (sehr) gut.;文;yes_it_tastes_good;
A1.1;3;2019-03-14;;;;いいえ、おいしくありません。;Nein, es schmeckt nicht gut.;文;no_it_does_not_taste_good;
A1.1;3;2019-03-14;;;;<ruby><rb>自</rb><rt>じ</rt></ruby><ruby><rb>己</rb><rt>こ</rt></ruby><ruby><rb>紹</rb><rt>しょう</rt></ruby><ruby><rb>介</rb><rt>かい</rt></ruby>;Selbsteinführung / Selbstvorstellung;名;self_introduction;2020-01-15
A1.1;3;2019-03-14;;;;（<ruby><rb>私</rb><rt>わたし</rt></ruby>は、）☐ にすんでいます。;Ich wohne in ☐ .;文;i_live_in;2020-01-15
A1.1;3;2019-03-14;;;;<ruby><rb>歌</rb><rt>うた</rt></ruby>;Gesang;名;singing;2020-01-15
A1.1;3;2019-03-14;;;;<ruby><rb>朝</rb><rt>あさ</rt></ruby>;Morgen;名;morning;2020-01-15
